Country or Area,M49 code,ISO-alpha3 code,_ab_source_file_last_modified,_ab_source_file_url
Mauritania,478.0,MRT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mauritius,480.0,MUS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mayotte,175.0,MYT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mexico,484.0,MEX,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Micronesia (Federated States of),583.0,FSM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Monaco,492.0,MCO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mongolia,496.0,MNG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Montenegro,499.0,MNE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Montserrat,500.0,MSR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Morocco,504.0,MAR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mozambique,508.0,MOZ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Myanmar,104.0,MMR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Namibia,516.0,NAM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Nauru,520.0,NRU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Nepal,524.0,NPL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Netherlands (Kingdom of the),528.0,NLD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
New Caledonia,540.0,NCL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
New Zealand,554.0,NZL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Nicaragua,558.0,NIC,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Niger,562.0,NER,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Nigeria,566.0,NGA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Niue,570.0,NIU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Norfolk Island,574.0,NFK,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
North Macedonia,807.0,MKD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Northern Mariana Islands,580.0,MNP,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Norway,578.0,NOR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Oman,512.0,OMN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Pakistan,586.0,PAK,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
